"filename", "language", "C#", "comment", "blank", "total"
"d:\DokumentyITD\coding_stuff\Chess\Source\Scripts\Board.cs", "C#", 275, 5, 37, 317
"d:\DokumentyITD\coding_stuff\Chess\Source\Scripts\Camera2D.cs", "C#", 13, 0, 2, 15
"d:\DokumentyITD\coding_stuff\Chess\Source\Scripts\ChessMoves.cs", "C#", 113, 0, 20, 133
"d:\DokumentyITD\coding_stuff\Chess\Source\Scripts\Piece.cs", "C#", 145, 0, 20, 165
"Total", "-", 546, 5, 79, 630
